valid_time,latitude,longitude,t2m,number
1981-05-02,48.4,8.2,278.0926,0
1981-05-02,48.4,8.45,277.3317,0
1981-05-02,48.65,8.2,278.4388,0
1981-05-02,48.65,8.45,277.4909,0
1981-05-03,48.4,8.45,277.85858,0
1981-05-03,48.4,8.2,278.57977,0
1981-05-03,48.65,8.45,278.12476,0
1981-05-03,48.65,8.2,278.9202,0
1981-05-04,48.65,8.2,278.9738,0
1981-05-04,48.65,8.45,278.16473,0
1981-05-04,48.4,8.2,278.42935,0
1981-05-04,48.4,8.45,277.7555,0
1981-05-05,48.65,8.2,279.22534,0
1981-05-05,48.65,8.45,278.4465,0
1981-05-05,48.4,8.2,278.55338,0
1981-05-05,48.4,8.45,277.8444,0
1981-05-06,48.4,8.2,280.75064,0
1981-05-06,48.4,8.45,279.83197,0
1981-05-06,48.65,8.2,281.47366,0
1981-05-06,48.65,8.45,280.63644,0
1981-05-07,48.65,8.2,287.31464,0
1981-05-07,48.65,8.45,286.58893,0
1981-05-07,48.4,8.2,286.7106,0
1981-05-07,48.4,8.45,285.87692,0
1981-05-08,48.65,8.2,287.4716,0
1981-05-08,48.65,8.45,286.96524,0
1981-05-08,48.4,8.2,287.03882,0
1981-05-08,48.4,8.45,286.42264,0
1981-05-09,48.4,8.45,288.57147,0
1981-05-09,48.65,8.2,289.87802,0
1981-05-09,48.65,8.45,289.06122,0
1981-05-09,48.4,8.2,289.33817,0
1981-05-10,48.4,8.2,291.1715,0
1981-05-10,48.4,8.45,290.75754,0
1981-05-10,48.65,8.2,291.9787,0
1981-05-10,48.65,8.45,291.4829,0
1981-05-11,48.65,8.2,286.07666,0
1981-05-11,48.65,8.45,285.698,0
1981-05-11,48.4,8.2,285.58014,0
1981-05-11,48.4,8.45,285.2904,0
1981-05-12,48.65,8.2,284.348,0
1981-05-12,48.65,8.45,283.43463,0
1981-05-12,48.4,8.2,283.91418,0
1981-05-12,48.4,8.45,283.0811,0
1981-05-13,48.65,8.2,285.89847,0
1981-05-13,48.65,8.45,285.1175,0
1981-05-13,48.4,8.2,284.97235,0
1981-05-13,48.4,8.45,284.2845,0
1981-05-14,48.4,8.45,284.46307,0
1981-05-14,48.4,8.2,285.15726,0
1981-05-14,48.65,8.45,285.00812,0
1981-05-14,48.65,8.2,285.9273,0
1981-05-15,48.65,8.2,286.1173,0
1981-05-15,48.65,8.45,285.3116,0
1981-05-15,48.4,8.2,285.75955,0
1981-05-15,48.4,8.45,284.8473,0
1981-05-16,48.65,8.2,286.9804,0
1981-05-16,48.65,8.45,286.32358,0
1981-05-16,48.4,8.2,286.4236,0
1981-05-16,48.4,8.45,285.6342,0
1981-05-17,48.65,8.2,285.01746,0
1981-05-17,48.65,8.45,283.98096,0
1981-05-17,48.4,8.2,284.40515,0
1981-05-17,48.4,8.45,283.57755,0
1981-05-18,48.4,8.45,286.1919,0
1981-05-18,48.4,8.2,287.1646,0
1981-05-18,48.65,8.45,286.3663,0
1981-05-18,48.65,8.2,287.25647,0
1981-05-19,48.65,8.2,291.298,0
1981-05-19,48.65,8.45,290.81073,0
1981-05-19,48.4,8.2,291.21234,0
1981-05-19,48.4,8.45,290.53336,0
1981-05-20,48.65,8.2,292.52014,0
1981-05-20,48.65,8.45,291.94516,0
1981-05-20,48.4,8.2,292.21848,0
1981-05-20,48.4,8.45,291.3251,0
1981-05-21,48.4,8.2,294.34943,0
1981-05-21,48.4,8.45,293.81458,0
1981-05-21,48.65,8.2,294.90286,0
1981-05-21,48.65,8.45,294.28876,0
1981-05-22,48.65,8.2,287.20816,0
1981-05-22,48.65,8.45,286.33325,0
1981-05-22,48.4,8.2,286.54022,0
1981-05-22,48.4,8.45,285.6543,0
1981-05-23,48.65,8.2,287.7318,0
1981-05-23,48.65,8.45,287.122,0
1981-05-23,48.4,8.2,287.1524,0
1981-05-23,48.4,8.45,286.54233,0
1981-05-24,48.4,8.45,285.30133,0
1981-05-24,48.65,8.2,286.40536,0
1981-05-24,48.65,8.45,285.75348,0
1981-05-24,48.4,8.2,285.99063,0
1981-05-25,48.4,8.2,283.38843,0
1981-05-25,48.4,8.45,282.68835,0
1981-05-25,48.65,8.2,283.91187,0
1981-05-25,48.65,8.45,283.1609,0
1981-05-26,48.65,8.2,283.6211,0
1981-05-26,48.65,8.45,282.5263,0
1981-05-26,48.4,8.2,282.72803,0
1981-05-26,48.4,8.45,281.7718,0
1981-05-27,48.65,8.2,283.75198,0
1981-05-27,48.65,8.45,282.93707,0
1981-05-27,48.4,8.2,282.9403,0
1981-05-27,48.4,8.45,282.2282,0
1981-05-28,48.65,8.2,285.0256,0
1981-05-28,48.65,8.45,284.2947,0
1981-05-28,48.4,8.2,284.36224,0
1981-05-28,48.4,8.45,283.6712,0
1981-05-29,48.4,8.45,286.4067,0
1981-05-29,48.4,8.2,287.22623,0
1981-05-29,48.65,8.45,286.88696,0
1981-05-29,48.65,8.2,287.8233,0
1981-05-30,48.65,8.2,290.39612,0
1981-05-30,48.65,8.45,289.6481,0
1981-05-30,48.4,8.2,289.83853,0
1981-05-30,48.4,8.45,289.03397,0
1981-05-31,48.65,8.2,292.9458,0
1981-05-31,48.65,8.45,292.22595,0
1981-05-31,48.4,8.2,292.35828,0
1981-05-31,48.4,8.45,291.75824,0
1981-06-01,48.4,8.45,293.45938,0
1981-06-01,48.65,8.2,294.6338,0
1981-06-01,48.65,8.45,293.76636,0
1981-06-01,48.4,8.2,294.18323,0
1981-06-02,48.4,8.2,294.88638,0
1981-06-02,48.4,8.45,294.42276,0
1981-06-02,48.65,8.2,295.38953,0
1981-06-02,48.65,8.45,294.90494,0
1981-06-03,48.65,8.2,291.5189,0
1981-06-03,48.65,8.45,291.17584,0
1981-06-03,48.4,8.2,291.1368,0
1981-06-03,48.4,8.45,290.8169,0
1981-06-04,48.65,8.2,285.4491,0
1981-06-04,48.65,8.45,284.78503,0
1981-06-04,48.4,8.2,284.89294,0
1981-06-04,48.4,8.45,284.44922,0
1981-06-05,48.4,8.2,287.79645,0
1981-06-05,48.4,8.45,286.99274,0
1981-06-05,48.65,8.2,288.2524,0
1981-06-05,48.65,8.45,287.41388,0
1981-06-06,48.65,8.2,290.0328,0
1981-06-06,48.65,8.45,289.35803,0
1981-06-06,48.4,8.2,289.52472,0
1981-06-06,48.4,8.45,288.9193,0
1981-06-07,48.65,8.2,291.87946,0
1981-06-07,48.65,8.45,290.8852,0
1981-06-07,48.4,8.2,291.45807,0
1981-06-07,48.4,8.45,290.61664,0
