valid_time,latitude,longitude,tp,number
1981-04-05,48.4,8.45,0.00021561289,0
1981-04-06,48.4,8.45,0.00076347287,0
1981-04-06,48.4,8.2,0.0005430152,0
1981-04-06,48.65,8.2,0.00010564514,0
1981-04-06,48.65,8.45,0.00019194056,0
1981-04-07,48.65,8.2,0.0,0
1981-04-07,48.65,8.45,5.7201833e-06,0
1981-04-07,48.4,8.2,2.2879598e-05,0
1981-04-07,48.4,8.45,5.4955468e-05,0
1981-04-08,48.65,8.2,0.00076446193,0
1981-04-08,48.65,8.45,0.0021308132,0
1981-04-08,48.4,8.2,0.0014211579,0
1981-04-08,48.4,8.45,0.0035851703,0
1981-04-09,48.65,8.2,0.0021432946,0
1981-04-09,48.65,8.45,0.0034404618,0
1981-04-09,48.4,8.2,0.0031163306,0
1981-04-09,48.4,8.45,0.004373284,0
1981-04-10,48.4,8.45,0.0,0
1981-04-10,48.4,8.2,1.1423253e-06,0
1981-04-10,48.65,8.2,0.0,0
1981-04-10,48.65,8.45,0.0,0
1981-04-11,48.65,8.2,2.2478816e-05,0
1981-04-11,48.65,8.45,3.994909e-05,0
1981-04-11,48.4,8.2,0.00027620207,0
1981-04-11,48.4,8.45,3.7182544e-06,0
1981-04-12,48.65,8.2,0.010386871,0
1981-04-12,48.65,8.45,0.01207209,0
1981-04-12,48.4,8.2,0.0076199267,0
1981-04-12,48.4,8.45,0.0052804435,0
1981-04-13,48.4,8.45,0.00017246179,0
1981-04-13,48.65,8.2,0.00033431686,0
1981-04-13,48.65,8.45,0.00036721118,0
1981-04-13,48.4,8.2,0.0028225367,0
1981-04-14,48.4,8.45,0.0009664714,0
1981-04-14,48.4,8.2,0.0017956841,0
1981-04-14,48.65,8.2,0.0006697188,0
1981-04-14,48.65,8.45,0.00074450846,0
1981-04-15,48.65,8.2,0.0,0
1981-04-15,48.65,8.45,0.0,0
1981-04-15,48.4,8.2,5.0160255e-05,0
1981-04-15,48.4,8.45,0.00012555798,0
1981-04-16,48.4,8.2,0.0,0
1981-04-16,48.65,8.2,0.0,0
1981-04-16,48.65,8.45,0.0,0
1981-04-16,48.4,8.45,0.0,0
1981-04-17,48.4,8.45,0.0,0
1981-04-17,48.4,8.2,0.0,0
1981-04-17,48.65,8.45,0.0,0
1981-04-17,48.65,8.2,0.0,0
1981-04-18,48.65,8.2,2.9454246e-05,0
1981-04-18,48.65,8.45,5.7234833e-05,0
1981-04-18,48.4,8.2,3.1778123e-05,0
1981-04-18,48.4,8.45,5.85469e-05,0
1981-04-19,48.65,8.2,0.0018491826,0
1981-04-19,48.65,8.45,0.0025946393,0
1981-04-19,48.4,8.2,0.0016981424,0
1981-04-19,48.4,8.45,0.0023457112,0
1981-04-20,48.4,8.2,0.0004923545,0
